"ZA8"	"ZB12"	"ZC16"	"ZD1"	"ZC1"	"ZB14"	"LM25"	"LM12"	"LM18"	"LM24"	"LM4"	"LM13"	"ZA1"	"LM10"	"LM28"	"LM19"	"ZC14"	"ZC8"	"ZC7"	"ZC10"	"ZC13"	"ZB9"	"LM6"	"ZC20"	"ZB2"	"LM30"	"LM7"	"LM11"	"ZC2"	"ZB3"	"ZA5"	"ZB6"	"ZB10"	"ZC21"	"ZB8"	"ZA4"	"LM22"	"ZA6"	"ZB15"	"ZC9"	"ZC12"	"LM20"	"LM16"	"ZC19"	"ZC3"	"ZC11"	"ZB1"	"ZC15"	"LM23"	"ZC6"	"ZD2"
"Pseudomonas yamanorum"	1	0	0	9	1	0	0	0	0	2	8	0	3	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	1	3	0	0	0	3	0	0	0	0	0	0
"Pseudomonas veronii"	0	1	0	1	1	0	0	1	0	0	49	0	2	0	1	0	0	1	3	0	2	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0
"Pseudomonas trivialis"	1	0	0	2	0	0	0	0	0	0	11	0	1	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0
"Pseudomonas aeruginosa"	1	3	0	5	4	1	0	0	0	0	0	0	1	0	0	0	0	0	35	0	0	0	0	0	0	178	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	108	0	1	0
"Moraxella osloensis"	1	9	1	4	1	2	1	0	1	0	2	0	2	0	0	0	3	4	38	1	2	0	0	0	0	0	1	0	3	0	3	0	0	0	0	1	1	0	1	2	0	3	0	1	1	0	2	148	0	1	0
"Haemophilus parainfluenzae"	0	2	0	0	0	2	0	12	41	0	5	3	0	0	0	0	8	5	0	0	1	0	1	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	8	0	6	0	0	9	2	0	1	0	0	0
"Delftia tsuruhatensis"	0	0	0	5	0	1	0	0	0	0	0	0	4	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	3	0	0	3	1
"Cupriavidus metallidurans"	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1
"Bifidobacterium catenulatum"	0	0	1	0	20	0	0	0	0	0	0	9	2	0	5	0	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	5	2	0	0	0	0	0	0	0	4	2	0
"Acinetobacter indicus"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
"Acinetobacter calcoaceticus"	2	1	1	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
"Streptococcus viridans"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	3	1	1	0	0	1	0	0	0	0	1	0
"Streptococcus pseudopneumoniae"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	1	0
"Streptococcus pneumoniae"	2	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	3	1	0	1	3	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	3	3	0	0	1	3	0
"Streptococcus dysgalactiae"	2	1	0	0	0	0	1	66	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"Streptococcus constellatus"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	4	6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	10	3	0	2	11	4	24	0	2	0	6	0	1	2	0	1	0
"Rothia aeria"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"Ralstonia pickettii"	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pseudoxanthomonas suwonensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pseudomonas soli"	1	1	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"Pseudomonas poae"	1	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1
"Pseudomonas plecoglossicida"	0	2	1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
"Pseudomonas libanensis"	2	0	0	0	1	0	0	0	0	1	14	0	1	0	1	0	0	0	4	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	1	2	0	1	1	0	0	1	0	0	1
"Pseudomonas entomophila"	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	1
"Paracoccus contaminans"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Muribaculum intestinale"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Flavobacterium commune"	2	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2
"Escherichia fergusonii"	0	0	14	7	0	0	2	2	1	1	4	1	0	0	5	0	0	3	3	1	2	0	0	0	10	2	0	36	15	2	0	97	1	0	3	0	7	0	9	0	0	5	0	0	10	0	3	3	0	13	1
"Enterobacter hormaechei"	1	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
"Comamonas aquatica"	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
"Adlercreutzia equolifaciens"	1	0	2	0	1	4	1	0	0	0	0	2	1	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	1	1	0	1	0	5	0	11	0	0	2
"Acinetobacter radioresistens"	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Xanthobacter autotrophicus"	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Streptococcus sanguinis"	0	0	0	0	0	49	0	0	0	0	0	4	0	0	0	0	1	157	1	17	0	424	0	0	156	0	0	0	80	0	1	1	1	87	1	1	0	0	0	0	1	0	2	0	0	4	0	0	0	1	0
"Streptococcus parasanguinis"	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	43	2	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	9	1	0	0	1	3	7	0	0	0	0	0
"Streptococcus cristatus"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	10	0	2	0	27	0	0	9	0	0	0	4	0	0	0	0	7	0	0	0	0	0	3	4	1	0	0	0	1	0	0	0	0	0
"Stenotrophomonas rhizophila"	0	1	1	6	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	2
"Stenotrophomonas acidaminiphila"	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Staphylococcus haemolyticus"	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Staphylococcus capitis"	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"Staphylococcus argenteus"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Sphingomonas koreensis"	1	9	2	21	3	1	0	0	0	0	0	0	2	0	0	0	3	0	1	0	3	0	0	0	0	0	0	0	1	7	3	0	1	1	1	1	0	0	3	2	0	0	0	2	0	1	0	0	0	0	1
"Sphingobium yanoikuyae"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"Pseudomonas simiae"	0	2	0	4	0	0	0	0	0	0	10	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0
"Pseudomonas rhodesiae"	0	0	0	2	0	0	1	0	0	0	14	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Pseudomonas orientalis"	1	0	2	1	0	0	0	0	0	0	16	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0
"Pseudomonas moraviensis"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pseudomonas monteilii"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Pseudomonas chlororaphis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pedobacter steynii"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Paraburkholderia xenovorans"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ochrobactrum anthropi"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Methylorubrum populi"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Methylobacterium phyllosphaerae"	0	0	0	0	0	0	0	0	2	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0
"Methylobacterium aquaticum"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
"Mageeibacillus indolicus"	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Lactobacillus salivarius"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lactobacillus sakei"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lactobacillus ruminis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
